"filename", "language", "JSON", "TypeScript", "Pug", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\controller\validationRequestController.js", "JavaScript", 0, 0, 0, 0, 87, 16, 0, 103
"d:\Lenovo\Documents\Project2CP\dist\controller\validationRequestController\createValReq.js", "JavaScript", 0, 0, 0, 0, 2, 1, 0, 3
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController.js", "JavaScript", 0, 0, 0, 0, 25, 1, 0, 26
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\certificatesController.js", "JavaScript", 0, 0, 0, 0, 148, 5, 0, 153
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\editMeWorker.js", "JavaScript", 0, 0, 0, 0, 18, 12, 0, 30
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\checkOwnerPortfolioPost.js", "JavaScript", 0, 0, 0, 0, 14, 1, 0, 15
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\createPortfolioPost.js", "JavaScript", 0, 0, 0, 0, 27, 1, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\deletePortfolioPost.js", "JavaScript", 0, 0, 0, 0, 25, 3, 0, 28
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\getPortfolioPostById.js", "JavaScript", 0, 0, 0, 0, 78, 1, 0, 79
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\likePortfolioPost.js", "JavaScript", 0, 0, 0, 0, 42, 2, 0, 44
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostController.ts\updatePortfolioPost.js", "JavaScript", 0, 0, 0, 0, 73, 5, 0, 78
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\portfolioPostsController.js", "JavaScript", 0, 0, 0, 0, 22, 1, 0, 23
"d:\Lenovo\Documents\Project2CP\dist\controller\workerController\workerCRUD.js", "JavaScript", 0, 0, 0, 0, 68, 9, 0, 77
"d:\Lenovo\Documents\Project2CP\dist\models\Application.js", "JavaScript", 0, 0, 0, 0, 61, 12, 0, 73
"d:\Lenovo\Documents\Project2CP\dist\models\Certificate.js", "JavaScript", 0, 0, 0, 0, 48, 2, 0, 50
"d:\Lenovo\Documents\Project2CP\dist\models\Deal.js", "JavaScript", 0, 0, 0, 0, 71, 2, 0, 73
"d:\Lenovo\Documents\Project2CP\dist\models\Like.js", "JavaScript", 0, 0, 0, 0, 18, 1, 0, 19
"d:\Lenovo\Documents\Project2CP\dist\models\PortfolioPost.js", "JavaScript", 0, 0, 0, 0, 41, 2, 0, 43
"d:\Lenovo\Documents\Project2CP\dist\models\Post.js", "JavaScript", 0, 0, 0, 0, 52, 2, 0, 54
"d:\Lenovo\Documents\Project2CP\dist\models\Review.js", "JavaScript", 0, 0, 0, 0, 61, 12, 0, 73
"d:\Lenovo\Documents\Project2CP\dist\models\User.js", "JavaScript", 0, 0, 0, 0, 67, 121, 0, 188
"d:\Lenovo\Documents\Project2CP\dist\models\UserDoc.js", "JavaScript", 0, 0, 0, 0, 8, 1, 0, 9
"d:\Lenovo\Documents\Project2CP\dist\models\Worker.js", "JavaScript", 0, 0, 0, 0, 100, 29, 0, 129
"d:\Lenovo\Documents\Project2CP\dist\models\WorkerDoc.js", "JavaScript", 0, 0, 0, 0, 15, 1, 0, 16
"d:\Lenovo\Documents\Project2CP\dist\models\data.js", "JavaScript", 0, 0, 0, 0, 150, 78, 0, 228
"d:\Lenovo\Documents\Project2CP\dist\models\validationRequest.js", "JavaScript", 0, 0, 0, 0, 81, 9, 0, 90
"d:\Lenovo\Documents\Project2CP\dist\routes\applicationRouter.js", "JavaScript", 0, 0, 0, 0, 22, 2, 0, 24
"d:\Lenovo\Documents\Project2CP\dist\routes\authRouter.js", "JavaScript", 0, 0, 0, 0, 32, 5, 0, 37
"d:\Lenovo\Documents\Project2CP\dist\routes\certificateRouter.js", "JavaScript", 0, 0, 0, 0, 19, 2, 0, 21
"d:\Lenovo\Documents\Project2CP\dist\routes\dashboardRouter.js", "JavaScript", 0, 0, 0, 0, 68, 7, 0, 75
"d:\Lenovo\Documents\Project2CP\dist\routes\dealRouter.js", "JavaScript", 0, 0, 0, 0, 21, 1, 0, 22
"d:\Lenovo\Documents\Project2CP\dist\routes\modRouter.js", "JavaScript", 0, 0, 0, 0, 39, 6, 0, 45
"d:\Lenovo\Documents\Project2CP\dist\routes\portfolioRouter.js", "JavaScript", 0, 0, 0, 0, 17, 3, 0, 20
"d:\Lenovo\Documents\Project2CP\dist\routes\postRouter.js", "JavaScript", 0, 0, 0, 0, 22, 1, 0, 23
"d:\Lenovo\Documents\Project2CP\dist\routes\reviewRouter.js", "JavaScript", 0, 0, 0, 0, 19, 1, 0, 20
"d:\Lenovo\Documents\Project2CP\dist\routes\userRouter.js", "JavaScript", 0, 0, 0, 0, 30, 18, 0, 48
"d:\Lenovo\Documents\Project2CP\dist\routes\validationRequestRouter.js", "JavaScript", 0, 0, 0, 0, 15, 1, 0, 16
"d:\Lenovo\Documents\Project2CP\dist\routes\workerRouter.js", "JavaScript", 0, 0, 0, 0, 38, 7, 0, 45
"d:\Lenovo\Documents\Project2CP\dist\server.js", "JavaScript", 0, 0, 0, 0, 50, 8, 0, 58
