"filename", "language", "TypeScript", "Pug", "JSON", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\src\views\_footer.pug", "Pug", 0, 10, 0, 0, 1, 11
"d:\Lenovo\Documents\Project2CP\src\views\_header.pug", "Pug", 0, 14, 0, 0, 1, 15
"d:\Lenovo\Documents\Project2CP\src\views\_reviewCard.pug", "Pug", 0, 10, 0, 0, 1, 11
"d:\Lenovo\Documents\Project2CP\src\views\account.pug", "Pug", 0, 55, 0, 0, 5, 60
"d:\Lenovo\Documents\Project2CP\src\views\base.pug", "Pug", 0, 20, 0, 8, 4, 32
"d:\Lenovo\Documents\Project2CP\src\views\emails\_style.pug", "Pug", 0, 258, 0, 0, 0, 258
"d:\Lenovo\Documents\Project2CP\src\views\emails\baseEmail.pug", "Pug", 0, 36, 0, 3, 6, 45
"d:\Lenovo\Documents\Project2CP\src\views\emails\passwordReset.pug", "Pug", 0, 6, 0, 0, 2, 8
"d:\Lenovo\Documents\Project2CP\src\views\emails\verifyEmail.pug", "Pug", 0, 17, 0, 0, 1, 18
"d:\Lenovo\Documents\Project2CP\src\views\emails\welcome.pug", "Pug", 0, 16, 0, 0, 1, 17
"d:\Lenovo\Documents\Project2CP\src\views\error.pug", "Pug", 0, 8, 0, 0, 1, 9
"d:\Lenovo\Documents\Project2CP\src\views\login.pug", "Pug", 0, 14, 0, 0, 1, 15
"d:\Lenovo\Documents\Project2CP\src\views\overview.pug", "Pug", 0, 41, 0, 0, 5, 46
"d:\Lenovo\Documents\Project2CP\src\views\tour.pug", "Pug", 0, 76, 0, 1, 16, 93
"Total", "-", 7022, 581, 13, 1583, 1074, 10273
